ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel)
8915,8915,"ZATD022",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8923,8923,"AAZD105",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8925,8925,"XMAN022",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8929,8929,"AASJ261",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8934,8934,"XDTD002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8935,8935,"Pequeño Delfín",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8937,8937,"AAGS142",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8939,8939,"AAGS002",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8940,8940,"RASJ006",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8941,8941,"PCBA-FYX-LV610(CD-C2)-M",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8942,8942,"AAZD118",Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA)
8945,8945,"Xi Bao",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8947,8947,"ZASJ040",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8949,8949,"AATD343",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8952,8952,"B05",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8958,8958,"AAGS104",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8971,8971,"AATD003",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8980,8980,"AAAA106",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8981,8981,"AAHT002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8984,8984,"AATD233",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8987,8987,"AATD320",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8988,8988,"FJ001",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8989,8989,"AATD686",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
8995,8995,"YCSJ007",Universal,Anal,Vibración,Dual Channel (0xD + 0xA)
8998,8998,"JBTD002",Universal,Anal,Interactivo,Dual Channel (0xD + 0xA)
